data,dataus,headlines,categoria
12/05/2016,05/12/2016,18,Nomeações
12/05/2016,05/12/2016,13,Repercussões Negativas
13/05/2016,05/13/2016,8,Repercussões Negativas
18/05/2016,05/18/2016,8,Repercussões Negativas
12/05/2016,05/12/2016,8,Repercussões Positivas
12/05/2016,05/12/2016,7,Declarações
12/07/2016,07/12/2016,6,Políticas
15/05/2016,05/15/2016,6,Repercussões Negativas
17/05/2016,05/17/2016,6,Repercussões Negativas
10/06/2016,06/10/2016,6,Repercussões Negativas
01/06/2016,06/01/2016,5,Declarações
17/05/2016,05/17/2016,5,Polêmicas
15/06/2016,06/15/2016,5,Políticas
16/05/2016,05/16/2016,5,Repercussões Negativas
23/05/2016,05/23/2016,5,Repercussões Negativas
12/05/2016,05/12/2016,5,Repercussões Neutras
05/08/2016,08/05/2016,5,Repercussões Neutras
16/05/2016,05/16/2016,4,Declarações
18/05/2016,05/18/2016,4,Declarações
07/06/2016,06/07/2016,4,Declarações
23/06/2016,06/23/2016,4,Declarações
05/08/2016,08/05/2016,4,Declarações
18/05/2016,05/18/2016,4,Nomeações
12/05/2016,05/12/2016,4,Polêmicas
13/05/2016,05/13/2016,4,Polêmicas
30/05/2016,05/30/2016,4,Polêmicas
16/06/2016,06/16/2016,4,Polêmicas
13/05/2016,05/13/2016,4,Políticas
16/05/2016,05/16/2016,4,Políticas
24/05/2016,05/24/2016,4,Políticas
02/06/2016,06/02/2016,4,Políticas
28/06/2016,06/28/2016,4,Políticas
29/06/2016,06/29/2016,4,Políticas
06/07/2016,07/06/2016,4,Políticas
25/07/2016,07/25/2016,4,Políticas
16/08/2016,08/16/2016,4,Repercussões Negativas
17/05/2016,05/17/2016,4,Repercussões Neutras
08/06/2016,06/08/2016,4,Repercussões Neutras
13/07/2016,07/13/2016,4,Repercussões Neutras
02/08/2016,08/02/2016,4,Repercussões Neutras
17/05/2016,05/17/2016,3,Declarações
19/05/2016,05/19/2016,3,Declarações
20/05/2016,05/20/2016,3,Declarações
31/05/2016,05/31/2016,3,Declarações
15/06/2016,06/15/2016,3,Declarações
16/06/2016,06/16/2016,3,Declarações
20/06/2016,06/20/2016,3,Declarações
28/06/2016,06/28/2016,3,Declarações
14/07/2016,07/14/2016,3,Declarações
01/08/2016,08/01/2016,3,Declarações
04/08/2016,08/04/2016,3,Declarações
12/08/2016,08/12/2016,3,Declarações
17/05/2016,05/17/2016,3,Nomeações
24/05/2016,05/24/2016,3,Nomeações
19/05/2016,05/19/2016,3,Polêmicas
20/05/2016,05/20/2016,3,Polêmicas
25/05/2016,05/25/2016,3,Polêmicas
02/06/2016,06/02/2016,3,Polêmicas
03/06/2016,06/03/2016,3,Polêmicas
07/06/2016,06/07/2016,3,Polêmicas
15/06/2016,06/15/2016,3,Polêmicas
23/06/2016,06/23/2016,3,Polêmicas
24/06/2016,06/24/2016,3,Polêmicas
12/05/2016,05/12/2016,3,Políticas
17/05/2016,05/17/2016,3,Políticas
18/05/2016,05/18/2016,3,Políticas
19/05/2016,05/19/2016,3,Políticas
08/06/2016,06/08/2016,3,Políticas
30/06/2016,06/30/2016,3,Políticas
01/07/2016,07/01/2016,3,Políticas
05/07/2016,07/05/2016,3,Políticas
26/07/2016,07/26/2016,3,Políticas
29/07/2016,07/29/2016,3,Políticas
01/08/2016,08/01/2016,3,Políticas
19/05/2016,05/19/2016,3,Repercussões Negativas
24/05/2016,05/24/2016,3,Repercussões Negativas
25/05/2016,05/25/2016,3,Repercussões Negativas
02/06/2016,06/02/2016,3,Repercussões Negativas
16/06/2016,06/16/2016,3,Repercussões Negativas
06/07/2016,07/06/2016,3,Repercussões Negativas
31/07/2016,07/31/2016,3,Repercussões Negativas
05/08/2016,08/05/2016,3,Repercussões Negativas
18/05/2016,05/18/2016,3,Repercussões Neutras
29/06/2016,06/29/2016,3,Repercussões Neutras
06/07/2016,07/06/2016,3,Repercussões Neutras
13/05/2016,05/13/2016,2,Declarações
14/05/2016,05/14/2016,2,Declarações
15/05/2016,05/15/2016,2,Declarações
21/05/2016,05/21/2016,2,Declarações
30/05/2016,05/30/2016,2,Declarações
08/06/2016,06/08/2016,2,Declarações
10/06/2016,06/10/2016,2,Declarações
17/06/2016,06/17/2016,2,Declarações
22/06/2016,06/22/2016,2,Declarações
30/06/2016,06/30/2016,2,Declarações
04/07/2016,07/04/2016,2,Declarações
05/07/2016,07/05/2016,2,Declarações
07/07/2016,07/07/2016,2,Declarações
13/07/2016,07/13/2016,2,Declarações
19/07/2016,07/19/2016,2,Declarações
26/07/2016,07/26/2016,2,Declarações
27/07/2016,07/27/2016,2,Declarações
06/08/2016,08/06/2016,2,Declarações
11/08/2016,08/11/2016,2,Declarações
